NAME,TRANSFER-FACTOR,N,T,STATUS,CONFIG,DISTRIBUTION
distribution0,0.9920761438148666,0,1,SUCCESS,site_conf_2_site,1
distribution0,0.9920761438148666,0,10,SUCCESS,site_conf_2_site,1
distribution0,0.9920761438148666,0,60,SUCCESS,site_conf_2_site,1
distribution0,0.9920761438148666,1,0,SUCCESS,site_conf_2_site,1
distribution0,0.9920761438148666,1,1,SUCCESS,site_conf_2_site,1
distribution0,0.9920761438148666,1,10,SUCCESS,site_conf_2_site,1
distribution0,0.9920761438148666,1,60,SUCCESS,site_conf_2_site,1
distribution0,0.9920761438148666,10,0,SUCCESS,site_conf_2_site,1
distribution0,0.9920761438148666,10,1,SUCCESS,site_conf_2_site,1
distribution0,0.9920761438148666,10,10,SUCCESS,site_conf_2_site,1
distribution0,0.9920761438148666,10,60,SUCCESS,site_conf_2_site,1
distribution0,0.9920761438148666,100,0,SUCCESS,site_conf_2_site,1
distribution0,0.9920761438148666,100,1,SUCCESS,site_conf_2_site,1
distribution0,0.9920761438148666,100,10,SUCCESS,site_conf_2_site,1
distribution0,0.9920761438148666,100,60,SUCCESS,site_conf_2_site,1
distribution0,0.48734182646756513,0,0,SUCCESS,site_conf_2_site,2
distribution0,0.48734182646756513,0,1,SUCCESS,site_conf_2_site,2
distribution0,0.48734182646756513,0,10,SUCCESS,site_conf_2_site,2
distribution0,0.48734182646756513,0,60,SUCCESS,site_conf_2_site,2
distribution0,0.48734182646756513,1,0,SUCCESS,site_conf_2_site,2
distribution0,0.48734182646756513,1,1,SUCCESS,site_conf_2_site,2
distribution0,0.48734182646756513,1,10,SUCCESS,site_conf_2_site,2
distribution0,0.48734182646756513,1,60,SUCCESS,site_conf_2_site,2
distribution0,0.48734182646756513,10,0,SUCCESS,site_conf_2_site,2
distribution0,0.48734182646756513,10,1,SUCCESS,site_conf_2_site,2
distribution0,0.48734182646756513,10,10,SUCCESS,site_conf_2_site,2
distribution0,0.48734182646756513,10,60,SUCCESS,site_conf_2_site,2
distribution0,0.48734182646756513,100,0,SUCCESS,site_conf_2_site,2
